id,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,gross,movie_title,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,num_user_for_reviews,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
16,258,150,80,201,22000,141614023,The Chronicles of Narnia: Prince Caspian ,149922,22697,4,438,225000000,2008,216,6.6,2.35,0
17,703,173,0,19000,26000,623279547,The Avengers ,995415,87697,3,1722,220000000,2012,21000,8.1,1.85,123000
18,448,136,252,1000,40000,241063875,Pirates of the Caribbean: On Stranger Tides ,370704,54083,4,484,250000000,2011,11000,6.7,2.35,58000
19,451,106,188,718,10000,179020854,Men in Black 3 ,268154,12572,1,341,225000000,2012,816,6.8,1.85,40000
20,422,164,0,773,5000,255108370,The Hobbit: The Battle of the Five Armies ,354228,9152,0,802,250000000,2014,972,7.5,2.35,65000
21,599,153,464,963,15000,262030663,The Amazing Spider-Man ,451803,28489,0,1225,230000000,2012,10000,7,2.35,56000
22,343,156,0,738,891,105219735,Robin Hood ,211765,3244,0,546,200000000,2010,882,6.7,2.35,17000
23,509,186,0,773,5000,258355354,The Hobbit: The Desolation of Smaug ,483540,9152,6,951,225000000,2013,972,7.9,2.35,83000
24,251,113,129,1000,16000,70083519,The Golden Compass ,149019,24106,2,666,180000000,2007,6000,6.1,2.35,0
25,446,201,0,84,6000,218051260,King Kong ,316018,7123,0,2618,207000000,2005,919,7.2,2.35,0
26,315,194,0,794,29000,658672302,Titanic ,793059,45223,0,2528,200000000,1997,14000,7.7,2.35,26000
27,516,147,94,11000,21000,407197282,Captain America: Civil War ,272670,64798,0,1022,250000000,2016,19000,8.2,2.35,72000
28,377,131,532,627,14000,65173160,Battleship ,202382,26679,0,751,209000000,2012,10000,5.9,2.35,44000
29,644,124,365,1000,3000,652177271,Jurassic World ,418214,8458,0,1290,150000000,2015,2000,7,2,150000
30,750,143,0,393,883,304360277,Skyfall ,522030,2039,0,1498,200000000,2012,563,7.8,2.35,80000
31,300,135,0,4000,24000,373377893,Spider-Man 2 ,411164,43388,1,1303,200000000,2004,11000,7.3,2.35,0
32,608,195,1000,3000,21000,408992272,Iron Man 3 ,557489,30426,3,1187,200000000,2013,4000,7.2,2.35,95000
33,451,108,13000,11000,40000,334185206,Alice in Wonderland ,306320,79957,0,736,200000000,2010,25000,6.5,1.85,24000
34,334,104,420,560,20000,234360014,X-Men: The Last Stand ,383427,21714,0,1912,210000000,2006,808,6.8,2.35,0
35,376,104,37,760,12000,268488329,Monsters University ,235025,14863,0,265,200000000,2013,779,7.3,1.85,44000
36,366,150,0,464,894,402076689,Transformers: Revenge of the Fallen ,323207,3218,0,1439,200000000,2009,581,6,2.35,0
37,378,165,0,808,974,245428137,Transformers: Age of Extinction ,242420,3988,2,918,210000000,2014,956,5.7,2.35,56000
38,525,130,0,11000,44000,234903076,Oz the Great and Powerful ,175409,73441,4,511,215000000,2013,15000,6.4,2.35,60000
39,495,142,464,825,15000,202853933,The Amazing Spider-Man 2 ,321227,28631,0,1067,200000000,2014,10000,6.7,2.35,41000
40,469,125,364,1000,12000,172051787,TRON: Legacy ,264183,25550,0,665,170000000,2010,10000,6.8,2.35,30000
41,304,106,487,776,1000,191450875,Cars 2 ,101178,4482,0,283,200000000,2011,919,6.3,2.35,10000
42,436,123,258,326,16000,116593191,Green Lantern ,223393,17657,2,550,200000000,2011,368,5.6,2.35,24000
43,453,103,125,721,15000,414984497,Toy Story 3 ,544884,19085,3,733,200000000,2010,1000,8.3,1.85,30000
44,422,118,368,988,23000,125320003,Terminator Salvation ,286095,27468,0,974,200000000,2009,3000,6.6,2.35,0
45,424,140,0,14000,26000,350034110,Furious 7 ,278232,79150,0,657,190000000,2015,23000,7.2,2.35,94000
46,654,123,395,1000,17000,202351611,World War Z ,465019,32392,0,995,190000000,2013,11000,7,2.35,129000
47,539,149,0,20000,34000,233914986,X-Men: Days of Future Past ,514125,91434,7,752,200000000,2014,22000,8,2.35,82000
48,590,132,14000,928,19000,228756232,Star Trek Into Darkness ,395573,21411,0,1171,190000000,2013,981,7.8,2.35,92000
49,338,114,0,140,979,65171860,Jack the Giant Slayer ,106416,1766,1,205,195000000,2013,557,6.3,2.35,22000
50,490,143,1000,77,29000,144812796,The Great Gatsby ,362912,29770,4,753,105000000,2013,509,7.3,2.35,115000
51,306,116,179,236,15000,90755643,Prince of Persia: The Sands of Time ,222403,16149,2,453,200000000,2010,567,6.6,2.35,23000
52,575,131,0,919,16000,101785482,Pacific Rim ,381148,19166,0,1106,190000000,2013,968,7,1.85,83000
53,428,154,0,581,894,352358779,Transformers: Dark of the Moon ,326180,2593,2,899,195000000,2011,829,6.3,2.35,46000
54,470,122,14000,1000,11000,317011114,Indiana Jones and the Kingdom of the Crystal Skull ,333847,14959,2,2054,185000000,2008,1000,6.2,2.35,5000
55,488,93,56,838,2000,237282182,Brave ,273556,5005,0,428,185000000,2012,1000,7.2,2.35,39000
56,322,122,681,105,998,130468626,Star Trek Beyond ,53607,1327,4,432,185000000,2016,119,7.5,2.35,30000
57,421,98,475,522,1000,223806889,WALL·E ,718837,2975,0,1043,180000000,2008,729,8.4,2.35,16000
58,162,91,420,173,268,140080850,Rush Hour 3 ,121084,1125,2,221,140000000,2007,268,6.2,2.35,0
59,367,158,776,310,1000,166112167,2012 ,283418,2144,0,1055,200000000,2009,468,5.8,2.35,13000
60,240,96,0,10000,18000,137850096,A Christmas Carol ,72809,48878,0,249,200000000,2009,14000,6.8,2.35,0
61,384,127,0,13000,17000,47375327,Jupiter Ascending ,139593,47334,1,720,176000000,2015,15000,5.4,2.35,44000
62,248,110,282,103,11000,124051759,The Legend of Tarzan ,42372,21175,2,239,180000000,2016,10000,6.6,2.35,29000
64,645,152,22000,11000,23000,533316061,The Dark Knight ,1676169,57802,0,4667,185000000,2008,13000,9,2.35,37000
65,408,96,0,262,1000,292979556,Up ,665575,2635,1,704,175000000,2009,848,8.3,1.85,27000
66,219,94,11,459,1000,198332128,Monsters vs. Aliens ,114553,2579,2,187,175000000,2009,973,6.5,2.35,0
67,486,126,4000,4000,21000,318298180,Iron Man ,696338,39252,3,1055,140000000,2008,12000,7.9,2.35,10000
68,682,126,17000,1000,17000,73820094,Hugo ,245333,36017,0,678,170000000,2011,16000,7.5,1.85,42000
69,85,106,188,582,10000,113745408,Wild Wild West ,129601,15870,2,648,170000000,1999,4000,4.8,1.85,0
70,264,112,357,595,5000,102176165,The Mummy: Tomb of the Dragon Emperor ,117927,9131,2,501,145000000,2008,3000,5.2,2.35,0
71,418,123,452,329,10000,161087183,Suicide Squad ,118992,11287,8,971,175000000,2016,336,6.9,2.35,80000
72,186,96,293,7000,87000,100289690,Evan Almighty ,115099,108016,0,257,175000000,2007,11000,5.4,2.35,2000
73,585,113,218,509,10000,100189501,Edge of Tomorrow ,431620,12652,1,741,178000000,2014,854,7.9,2.35,77000
74,91,176,58,60,711,88246220,Waterworld ,144337,1004,0,309,175000000,1995,60,6.1,1.85,0
75,250,118,208,570,23000,150167630,G.I. Joe: The Rise of Cobra ,174578,26683,4,534,175000000,2009,2000,5.8,2.35,0
76,536,95,0,384,1000,356454367,Inside Out ,345198,2944,1,773,175000000,2015,767,8.3,1.85,118000
77,370,106,4000,591,19000,362645141,The Jungle Book ,106072,32921,0,398,175000000,2016,13000,7.8,1.85,65000
78,453,124,4000,4000,21000,312057433,Iron Man 2 ,522371,48638,4,723,200000000,2010,19000,7,2.35,18000
79,416,132,274,11000,26000,155111815,Snow White and the Huntsman ,228554,72881,0,710,170000000,2012,17000,6.1,2.35,53000
80,401,97,171,846,11000,241407328,Maleficent ,252257,15516,2,634,180000000,2014,2000,7,2.35,89000
81,521,130,198,884,10000,208543795,Dawn of the Planet of the Apes ,317542,14363,0,620,170000000,2014,2000,7.6,1.85,45000
82,218,128,47,982,18000,38297305,47 Ronin ,116994,20965,2,324,175000000,2013,1000,6.3,2.35,35000
83,576,136,94,2000,19000,259746958,Captain America: The Winter Soldier ,496749,36188,1,742,170000000,2014,11000,7.8,2.35,55000
84,226,93,31,213,4000,238371987,Shrek Forever After ,138661,4628,2,173,165000000,2010,225,6.4,2.35,0
85,443,130,663,604,2000,93417865,Tomorrowland ,128306,5046,2,497,190000000,2015,638,6.5,2.2,37000
86,384,102,38,562,756,222487711,Big Hero 6 ,279093,2963,0,433,165000000,2014,719,7.9,2.39,41000
87,377,101,66,833,975,189412677,Wreck-It Ralph ,272534,4451,1,345,165000000,2012,931,7.8,2.35,40000
88,188,100,0,267,15000,665426,The Polar Express ,120798,16264,0,444,165000000,2004,726,6.6,2.35,10000
89,286,120,776,535,890,102315545,Independence Day: Resurgence ,58137,3233,0,520,165000000,2016,812,5.5,2.35,67000
90,288,98,255,759,18000,217387997,How to Train Your Dragon ,485430,20453,0,492,165000000,2010,953,8.2,2.35,33000
91,280,109,84,191,648,150350192,Terminator 3: Rise of the Machines ,305340,1769,0,1676,200000000,2003,284,6.4,2.35,0
92,653,121,571,3000,14000,333130696,Guardians of the Galaxy ,682155,32438,3,1097,170000000,2014,14000,8.1,2.35,96000
93,712,169,22000,6000,11000,187991439,Interstellar ,928227,31488,1,2725,165000000,2014,11000,8.6,2.35,349000
94,642,148,22000,23000,29000,292568851,Inception ,1468200,81115,0,2803,160000000,2010,27000,8.8,2.35,175000
95,187,106,357,4000,23000,144512310,The Fast and the Furious ,272223,45327,2,988,38000000,2001,14000,6.7,2.35,14000
96,362,166,21000,919,11000,127490802,The Curious Case of Benjamin Button ,459346,13333,2,822,150000000,2008,1000,7.8,2.35,23000
97,500,132,905,1000,34000,146405371,X-Men: First Class ,518537,50983,3,698,160000000,2011,13000,7.8,2.35,54000
98,389,137,508,14000,34000,281666058,The Hunger Games: Mockingjay - Part 2 ,166137,81385,1,383,160000000,2015,22000,6.6,2.35,38000
99,235,109,226,370,12000,63143812,The Sorcerer's Apprentice ,124185,13388,0,238,150000000,2010,418,6.1,2.35,11000
100,231,98,249,702,87000,60655503,Poseidon ,82380,92456,0,629,160000000,2006,2000,5.6,2.35,0
101,218,113,33,11000,40000,76846624,Alice Through the Looking Glass ,21352,80806,1,131,170000000,2016,25000,6.4,1.85,30000
102,227,93,50,692,3000,320706665,Shrek the Third ,211971,4705,2,326,160000000,2007,795,6.1,1.85,0
103,275,123,0,648,3000,46978995,Warcraft ,111609,5505,0,781,160000000,2016,716,7.3,2.35,89000
104,474,126,230,2000,24000,89732035,Terminator Genisys ,188457,38873,2,867,155000000,2015,10000,6.6,2.35,82000
105,228,113,150,59,531,104383624,The Chronicles of Narnia: The Voyage of the Dawn Treader ,106446,764,4,227,155000000,2010,82,6.3,1.78,11000
106,191,184,0,691,3000,198539855,Pearl Harbor ,254111,5401,0,1999,140000000,2001,961,6.1,2.35,0
107,396,144,0,581,662,318759914,Transformers ,513158,2333,0,1782,150000000,2007,599,7.1,2.35,8000
108,248,206,0,591,12000,34293771,Alexander ,138863,24598,3,1390,155000000,2004,11000,5.5,2.35,0
109,329,138,282,687,21000,292000866,Harry Potter and the Order of the Phoenix ,355137,33433,3,1108,150000000,2007,11000,7.5,2.35,0
110,295,157,179,10000,21000,289994397,Harry Potter and the Goblet of Fire ,385670,53413,1,1896,150000000,2005,11000,7.6,2.35,0
111,318,102,532,979,10000,227946274,Hancock ,343648,21584,0,590,150000000,2008,9000,6.4,2.35,0
112,323,104,508,558,10000,256386216,I Am Legend ,530870,13076,0,1413,150000000,2007,1000,7.2,2.35,11000
113,276,115,13000,588,40000,206456431,Charlie and the Chocolate Factory ,320284,57844,3,1361,150000000,2005,16000,6.7,1.85,0
114,318,111,663,954,1000,206435493,Ratatouille ,473887,4764,0,626,150000000,2007,1000,8,2.35,10000
115,478,128,22000,11000,23000,205343774,Batman Begins ,980946,59558,0,2685,150000000,2005,14000,8.3,2.35,15000
116,167,89,35,436,1000,179982968,Madagascar: Escape 2 Africa ,146019,3285,0,119,150000000,2008,851,6.7,1.85,0
117,185,105,189,1000,49000,177243721,Night at the Museum: Battle of the Smithsonian ,130272,54039,2,209,150000000,2009,3000,5.9,2.35,2000
118,350,119,151,2000,20000,179883016,X-Men Origins: Wolverine ,361924,40054,0,641,150000000,2009,16000,6.7,2.35,0
119,245,129,0,233,309,139259759,The Matrix Revolutions ,364948,1062,0,2121,150000000,2003,269,6.7,2.35,0
120,406,102,69,490,1000,400736600,Frozen ,421658,2582,0,904,150000000,2013,523,7.6,2.24,58000
121,275,138,0,30,234,281492479,The Matrix Reloaded ,421818,534,0,2789,150000000,2003,198,7.2,2.35,0
122,486,112,230,12000,26000,206360018,Thor: The Dark World ,414070,59803,3,532,170000000,2013,20000,7.1,2.35,63000
123,739,120,750,943,27000,153629485,Mad Max: Fury Road ,552503,40025,0,1588,150000000,2015,9000,8.1,2.35,191000
124,298,146,2000,294,15000,133375846,Angels & Demons ,207839,16948,2,435,150000000,2009,745,6.7,2.35,0
125,516,115,0,12000,26000,181015141,Thor ,536314,60059,1,738,150000000,2011,20000,7,2.35,63000
126,225,96,59,699,17000,114053579,Bolt ,146766,20007,0,178,150000000,2008,759,6.9,1.85,0
127,145,88,12,182,730,119420252,G-Force ,33042,2217,0,90,150000000,2009,607,5.1,2.35,0
128,310,99,473,502,14000,83640426,Wrath of the Titans ,152826,16184,0,253,150000000,2012,897,5.8,1.85,19000
129,526,113,13000,16000,40000,79711678,Dark Shadows ,199039,80849,7,479,100000000,2012,17000,6.2,1.85,82000
130,465,131,188,641,10000,195000874,Mission: Impossible - Rogue Nation ,232187,21840,0,440,150000000,2015,10000,7.4,2.35,47000
131,357,119,394,162,12000,61937495,The Wolfman ,89442,13071,0,432,150000000,2010,490,5.8,1.85,0
132,248,110,282,103,11000,124051759,The Legend of Tarzan ,42372,21175,2,239,180000000,2016,10000,6.6,2.35,29000
133,194,91,58,826,2000,126597121,Bee Movie ,105902,6576,0,206,150000000,2007,852,6.2,1.85,0
134,284,90,90,15,11000,165230261,Kung Fu Panda 2 ,182718,21015,0,209,150000000,2011,10000,7.3,2.35,20000
135,280,103,0,346,1000,131564731,The Last Airbender ,118951,2857,0,1382,150000000,2010,756,4.2,2.35,18000
136,310,124,14000,979,22000,133382309,Mission: Impossible III ,256695,34817,0,871,150000000,2006,10000,6.9,2.35,0
137,339,131,776,256,17000,73103784,White House Down ,164238,18204,2,434,150000000,2013,551,6.4,2.35,33000
138,132,88,25,433,921,21379315,Mars Needs Moms ,17590,2652,0,112,150000000,2011,562,5.4,2.35,0
139,135,85,42,586,20000,64459316,Flushed Away ,85086,35161,0,122,149000000,2006,14000,6.7,1.85,0
140,256,111,456,394,20000,34964818,Pan ,39956,21393,4,186,150000000,2015,548,5.8,2.35,24000
141,196,92,50,517,3000,111505642,Mr. Peabody & Sherman ,47900,5810,2,130,145000000,2014,1000,6.9,1.85,11000
142,220,196,249,844,11000,133228348,Troy ,381672,17944,2,1694,175000000,2004,5000,7.2,2.35,0
143,211,93,35,436,851,216366733,Madagascar 3: Europe's Most Wanted ,119213,2444,0,154,145000000,2012,770,6.9,1.85,17000
144,264,133,93,746,769,160201106,Die Another Day ,169914,2538,0,1185,142000000,2002,766,6.1,2.35,0
145,464,116,176,322,783,118099659,Ghostbusters ,69757,2097,4,1211,144000000,2016,370,5.5,2.35,62000
146,167,153,0,537,13000,201573391,Armageddon ,322395,26029,0,1171,140000000,1998,12000,6.6,2.35,11000
147,208,88,188,826,10000,190418803,Men in Black II ,270207,14823,2,606,140000000,2002,3000,6.1,1.85,2000
148,287,115,0,964,18000,82161969,Beowulf ,142440,31523,1,505,150000000,2007,12000,6.3,2.35,3000
149,210,95,5,967,24000,143523463,Kung Fu Panda 3 ,64322,36095,0,145,145000000,2016,11000,7.2,2.35,24000
150,432,133,663,690,10000,209364921,Mission: Impossible - Ghost Protocol ,365104,21768,3,512,145000000,2011,10000,7.4,2.35,35000
151,256,97,52,161,20000,103400692,Rise of the Guardians ,123553,20645,0,174,145000000,2012,315,7.3,1.85,25000
152,135,90,23,233,957,110332737,Fun with Dick and Jane ,110788,1997,1,258,100000000,2005,550,6.1,2.35,2000
153,190,154,380,445,10000,111110575,The Last Samurai ,317166,11945,1,928,140000000,2003,956,7.7,2.35,0
154,314,150,0,748,23000,65007045,Exodus: Gods and Kings ,128682,26490,0,657,140000000,2014,893,6.1,2.35,51000
155,518,127,14000,981,26000,257704099,Star Trek ,504419,39284,0,1559,150000000,2009,12000,8,2.35,19000
156,291,121,0,4000,24000,403706375,Spider-Man ,544665,40484,0,2012,139000000,2002,11000,7.3,1.85,5000
157,292,102,255,953,18000,176997107,How to Train Your Dragon 2 ,221128,23378,5,343,145000000,2014,3000,7.9,2.35,46000
158,184,126,295,284,18000,31141074,Gods of Egypt ,51892,19769,4,273,140000000,2016,934,5.5,2.35,24000
159,145,121,357,653,820,31704416,Stealth ,45455,2705,0,388,135000000,2005,780,5,2.35,0
160,451,215,0,413,986,107503316,Watchmen ,392474,2530,1,1229,130000000,2009,745,7.7,2.35,18000
161,141,127,503,91,5000,129734803,Lethal Weapon 4 ,127497,6171,2,287,140000000,1998,808,6.6,2.35,0
162,267,138,0,258,820,132122995,Hulk ,212106,1814,0,1445,137000000,2003,300,5.7,1.85,0
163,351,122,209,934,17000,122512052,G.I. Joe: Retaliation ,146352,31958,6,288,130000000,2013,12000,5.8,2.35,42000
164,163,124,42,848,11000,68642452,Sahara ,77673,13073,3,463,130000000,2005,973,6,2.35,0
165,166,106,6,422,12000,32131830,Final Fantasy: The Spirits Within ,72259,15015,1,788,137000000,2001,2000,6.4,1.85,0
166,510,124,394,2000,11000,176636816,Captain America: The First Avenger ,508818,19761,0,679,140000000,2011,3000,6.9,2.35,46000
167,197,128,150,244,766,126930660,The World Is Not Enough ,157519,2037,2,683,135000000,1999,536,6.4,2.35,2000
168,244,138,608,168,613,93926386,Master and Commander: The Far Side of the World ,168207,1205,1,684,150000000,2003,172,7.4,2.35,0
169,322,115,386,12000,21000,292298923,The Twilight Saga: Breaking Dawn - Part 2 ,185394,59177,3,329,120000000,2012,17000,5.5,2.35,65000
170,156,100,750,988,49000,63992328,Happy Feet 2 ,32399,62644,0,79,135000000,2011,11000,5.9,2.35,0
171,354,135,255,882,3000,134518390,The Incredible Hulk ,326286,5811,0,643,150000000,2008,1000,6.8,2.35,0
172,252,117,14000,358,535,52792307,The BFG ,12572,1950,0,106,140000000,2016,400,6.8,2.35,27000
173,556,156,0,733,29000,183635922,The Revenant ,406020,57108,0,1188,135000000,2015,27000,8.1,2.35,190000
174,166,96,13,463,16000,83024900,Turbo ,62424,17416,0,90,135000000,2013,881,6.5,2.35,13000
175,362,107,563,939,40000,123207194,Rango ,183208,43291,0,337,135000000,2011,1000,7.2,2.35,26000
176,153,92,35,179,19000,83348920,Penguins of Madagascar ,60230,19963,0,118,132000000,2014,411,6.7,1.85,11000
177,329,115,521,883,13000,227137090,The Bourne Ultimatum ,491077,17369,0,820,110000000,2007,897,8.1,2.35,0
178,266,92,54,562,11000,215395021,Kung Fu Panda ,307029,12754,0,360,130000000,2008,967,7.6,2.35,6000
179,517,117,235,680,2000,180191634,Ant-Man ,313866,5730,6,549,130000000,2015,2000,7.4,1.85,61000
180,502,146,508,523,34000,424645577,The Hunger Games: Catching Fire ,498397,49355,1,706,130000000,2013,14000,7.6,2.35,82000
181,322,115,386,12000,21000,292298923,The Twilight Saga: Breaking Dawn - Part 2 ,185394,59177,3,329,120000000,2012,17000,5.5,2.35,65000
182,165,94,12,183,17000,177343675,Home ,70121,17883,0,214,135000000,2015,523,6.7,1.85,26000
183,401,116,14000,807,10000,234277056,War of the Worlds ,334345,12758,0,2741,132000000,2005,1000,6.5,1.85,0
184,94,147,0,877,10000,138396624,Bad Boys II ,178126,12954,1,511,130000000,2003,898,6.6,2.35,0
185,246,90,50,397,4000,149234747,Puss in Boots ,114287,5046,0,137,130000000,2011,442,6.7,2.35,16000
186,330,101,176,282,11000,118311368,Salt ,245621,12406,1,514,110000000,2010,702,6.4,2.35,23000
187,434,138,0,8000,12000,101160529,Noah ,200022,32355,2,1240,125000000,2014,9000,5.8,1.85,71000
188,440,107,14000,845,2000,77564037,The Adventures of Tintin ,177383,4631,1,447,135000000,2011,871,7.4,2.35,44000
189,274,142,0,10000,11000,249358727,Harry Potter and the Prisoner of Azkaban ,382255,33284,3,1504,130000000,2004,10000,7.8,2.35,11000
190,245,165,1000,165,309,49551662,Australia ,102338,921,0,450,130000000,2008,284,6.6,2.35,0
191,349,100,0,894,10000,60522097,After Earth ,158720,14168,0,744,130000000,2013,943,4.9,2.35,37000
192,145,82,0,388,1000,137748063,Dinosaur ,38438,2945,1,241,127500000,2000,558,6.5,1.85,0
193,154,98,189,1000,49000,113733726,Night at the Museum: Secret of the Tomb ,67223,53587,7,126,127000000,2014,3000,6.2,1.85,11000
194,233,95,96,8000,24000,148337537,Megamind ,172754,46120,3,187,130000000,2010,11000,7.3,2.35,13000
195,258,159,0,645,11000,317557891,Harry Potter and the Sorcerer's Stone ,444683,13191,4,1571,125000000,2001,687,7.5,2.35,16000
196,208,96,124,1000,16000,33592415,R.I.P.D. ,91640,31549,2,210,130000000,2013,12000,5.6,2.35,20000
197,271,143,563,1000,40000,305388685,Pirates of the Caribbean: The Curse of the Black Pearl ,809474,48184,3,2113,140000000,2003,5000,8.1,2.35,10000
198,403,123,508,14000,34000,337103873,The Hunger Games: Mockingjay - Part 1 ,305008,81385,1,591,125000000,2014,22000,6.7,2.35,52000
199,294,174,2000,362,15000,217536138,The Da Vinci Code ,314253,16008,2,1966,125000000,2006,574,6.6,2.35,0
200,159,101,107,56,688,131536019,Rio 2 ,58498,1031,0,99,103000000,2014,237,6.4,2.35,0
201,289,134,0,346,20000,214948780,X-Men 2 ,405973,20952,4,1055,110000000,2003,505,7.5,2.35,0
202,342,132,681,12000,23000,209805005,Fast Five ,284792,55345,3,366,125000000,2011,14000,7.3,2.35,54000
203,382,129,0,154,21000,186830669,Sherlock Holmes: A Game of Shadows ,338635,22403,2,412,125000000,2011,979,7.5,2.35,39000
204,344,106,255,850,14000,163192114,Clash of the Titans ,229679,18003,0,637,125000000,2010,1000,5.8,2.35,15000
205,196,113,719,217,605,119412921,Total Recall ,240241,1441,0,391,65000000,1990,308,7.5,1.85,0
206,85,102,323,241,845,32694788,The 13th Warrior ,101411,1815,1,546,85000000,1999,372,6.6,2.35,0
207,436,135,209,602,10000,113165635,The Bourne Legacy ,229823,12175,0,504,125000000,2012,826,6.7,2.35,31000
208,183,125,541,409,920,107285004,Batman & Robin ,189855,2699,3,1018,125000000,1997,890,3.7,1.85,0
209,175,110,2000,636,1000,260031035,How the Grinch Stole Christmas ,141414,4146,0,482,123000000,2000,722,6,1.85,0
210,239,124,776,812,15000,186739919,The Day After Tomorrow ,333248,20553,0,1159,125000000,2004,2000,6.4,2.35,19000
211,237,123,610,653,10000,215397307,Mission: Impossible II ,242188,11930,0,1426,125000000,2000,794,6.1,2.35,0
212,231,130,249,461,784,182618434,The Perfect Storm ,133076,2684,0,779,140000000,2000,638,6.4,2.35,0
213,262,92,167,702,11000,131920333,Fantastic 4: Rise of the Silver Surfer ,213275,15302,3,436,130000000,2007,2000,5.6,2.35,0
214,552,127,0,341,774,124976634,Life of Pi ,440084,2121,0,755,120000000,2012,358,8,1.85,122000
215,276,123,160,402,12000,115802596,Ghost Rider ,182661,14017,1,681,110000000,2007,701,5.2,2.35,0
216,267,123,521,265,13000,108521835,Jason Bourne ,40123,13752,0,297,120000000,2016,365,7.1,2.35,31000
217,102,107,368,1000,2000,100685880,Charlie's Angels: Full Throttle ,100821,4046,0,554,120000000,2003,1000,4.8,2.35,0
218,775,124,0,641,13000,126464904,Prometheus ,456260,24098,0,2326,130000000,2012,9000,7,2.35,97000
219,71,77,50,537,886,64736114,Stuart Little 2 ,36471,2682,0,69,120000000,2002,799,5.4,1.85,459
220,476,109,662,1000,13000,93050117,Elysium ,338087,17689,0,814,115000000,2013,2000,6.6,2.35,61000
221,207,134,123,567,14000,57637485,The Chronicles of Riddick ,183909,17159,0,666,105000000,2004,850,6.7,2.35,0
222,492,117,294,1000,10000,58607007,RoboCop ,182899,14161,0,630,100000000,2014,2000,6.2,2.35,60000
223,284,135,0,87,690,43929341,Speed Racer ,57873,902,0,414,120000000,2008,107,6.1,2.35,0
224,168,121,274,157,273,30212620,How Do You Know ,35066,993,4,196,120000000,2010,216,5.3,1.85,0
225,283,117,446,877,10000,76418654,Knight and Day ,148280,12731,0,348,117000000,2010,973,6.3,2.35,11000
226,539,124,364,1000,11000,89021735,Oblivion ,387436,22004,0,892,120000000,2013,10000,7,2.35,71000
227,359,140,0,4000,20000,380262555,Star Wars: Episode III - Revenge of the Sith ,520104,44042,4,3286,113000000,2005,16000,7.6,2.35,10000
228,284,142,0,4000,20000,310675583,Star Wars: Episode II - Attack of the Clones ,464310,42990,3,3516,115000000,2002,16000,6.7,1.78,0
230,320,136,0,1000,20000,474544677,Star Wars: Episode I - The Phantom Menace ,534658,37723,1,3597,115000000,1999,14000,6.5,2.35,13000
231,257,98,16,12000,16000,187165546,The Croods ,150618,43286,3,195,135000000,2013,15000,7.3,2.35,28000
232,152,153,610,617,12000,40911830,Windtalkers ,55994,15046,0,454,115000000,2002,836,6,2.35,0
233,231,120,19,9000,26000,47952020,The Huntsman: Winter's War ,37750,46719,2,134,115000000,2016,11000,6.1,2.35,16000
234,348,101,473,429,833,190871240,Teenage Mutant Ninja Turtles ,167085,2690,0,491,125000000,2014,809,5.9,2.35,62000
235,738,91,0,13,39,274084951,Gravity ,582917,87,0,1885,100000000,2013,23,7.8,2.35,147000
